Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,CM_rating_sum,FM_rating_sum,IM_rating_sum,GM_rating_sum,WCM_rating_sum,WFM_rating_sum,WIM_rating_sum,WGM_rating_sum,rating_average,CM_rating_average,FM_rating_average,IM_rating_average,GM_rating_average,WCM_rating_average,WFM_rating_average,WIM_rating_average,WGM_rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,highest_rating,highest_player,population
Austria,5241,314,28,701144.0,117602.0,357206.0,138175.0,32513.0,9854.0,30932.0,10705.0,2263.0,2232.94,2138.22,2218.67,2341.95,2501.0,1970.8,2062.13,2141.0,2263.0,55,161,59,13,5,15,5,1,2656.0,"Alekseenko, Kirill",9200931
Kyrgyzstan,1105,43,15,91144.0,10213.0,28883.0,23078.0,0,13094.0,11796.0,4080.0,0,2119.63,2042.6,2221.77,2307.8,0,1870.57,1966.0,2040.0,0,5,13,10,0,7,6,2,0,2398.0,"Sydykov, Bayastan",7281800
Palestine,404,18,7,36487.0,11913.0,8290.0,2230.0,0,8534.0,3712.0,0,0,2027.06,1985.5,2072.5,2230.0,0,1706.8,1856.0,0,0,6,4,1,0,5,2,0,0,2146.0,"Seder, Mohammed",0
Kazakhstan,5266,258,77,569893.0,54664.0,191146.0,125230.0,54587.0,27324.0,71456.0,26071.0,17918.0,2208.89,2102.46,2222.63,2319.07,2481.23,1821.6,2041.6,2172.58,2239.75,26,86,54,22,15,35,12,8,2558.0,"Makhnev, Denis",20426568
Libya,813,20,3,42681.0,14092.0,21276.0,0,0,1714.0,3754.0,0,0,2134.05,2013.14,2127.6,0,0,1714.0,1877.0,0,0,7,10,0,0,1,2,0,0,2210.0,"Kweiri, Tawfik ezzeddin",7459000
Syria,548,28,4,63096.0,4311.0,38248.0,11380.0,0,0,5818.0,1911.0,0,2253.43,2155.5,2249.88,2276.0,0,0,1939.33,1911.0,0,2,17,5,0,0,3,1,0,2403.0,"Husari, Satea",25620000
Georgia,1797,158,73,359960.0,8743.0,53534.0,97124.0,74002.0,13735.0,58418.0,30182.0,22625.0,2278.23,2185.75,2230.58,2368.88,2466.73,1962.14,2086.36,2155.86,2262.5,4,24,41,30,7,28,14,10,2570.0,"Jobava, Baadur",4000921
Armenia,2043,179,33,412986.0,52051.0,109648.0,89711.0,97184.0,5893.0,26875.0,19154.0,11039.0,2307.18,2168.79,2284.33,2360.82,2491.9,1964.33,2067.31,2128.22,2207.8,24,48,38,39,3,13,9,5,2644.0,"Sargsyan, Shant",3076200
Ukraine,5819,598,99,1368311.0,55061.0,466336.0,441649.0,215336.0,5232.0,75858.0,64564.0,42088.0,2288.15,2202.44,2242.0,2324.47,2503.91,1744.0,2050.22,2152.13,2215.16,25,208,190,86,3,37,30,19,2674.0,"Eljanov, Pavel",32862000
Cayman Islands,49,7,3,13819.0,7243.0,0,0,0,4835.0,0,0,0,1974.14,1810.75,0,0,0,1611.67,0,0,0,4,0,0,0,3,0,0,0,1952.0,"Blackwood, Ryan",0
Italy,16137,315,30,705465.0,67551.0,423000.0,117287.0,44410.0,3934.0,36897.0,8686.0,2059.0,2239.57,2110.97,2226.32,2345.74,2467.22,1967.0,2049.83,2171.5,2059.0,32,190,50,18,2,18,4,1,2590.0,"Lodici, Lorenzo",58927633
Bolivia,1889,58,19,117850.0,42130.0,29146.0,6901.0,2355.0,17867.0,9706.0,7937.0,0,2031.9,2006.19,2081.86,2300.33,2355.0,1786.7,1941.2,1984.25,0,21,14,3,1,10,5,4,0,2426.0,"Ticona Rocabado, Licael Roderick",11365333
Saudi Arabia,278,7,1,15616.0,7977.0,4066.0,0,0,1802.0,0,0,0,2230.86,1994.25,2033.0,0,0,1802.0,0,0,0,4,2,0,0,1,0,0,0,2106.0,"Alrehaili, Ahmed Abdullah S",35300280
FID,1247,249,75,563809.0,47386.0,178596.0,106249.0,93565.0,22784.0,82579.0,21781.0,9114.0,2264.29,2153.91,2260.71,2361.09,2528.78,1898.67,2064.47,2178.1,2278.5,22,79,45,37,12,40,10,4,2710.0,"Andreikin, Dmitry",0
Chile,3592,130,20,280347.0,68827.0,125917.0,32675.0,14903.0,12624.0,19312.0,6089.0,0,2156.52,2085.67,2209.07,2333.93,2483.83,1803.43,1931.2,2029.67,0,33,57,14,6,7,10,3,0,2603.0,"Henriquez Villagra, Cristobal",20206953
Mexico,5095,294,88,610466.0,166206.0,181110.0,70581.0,22336.0,98684.0,35325.0,34197.0,0,2076.41,2051.93,2156.07,2205.66,2481.78,1861.96,1962.5,2011.59,0,81,84,32,9,53,18,17,0,2650.0,"Martinez Alcantara, Jose Eduardo",130575786
Costa Rica,1305,77,27,157215.0,48171.0,33771.0,22713.0,2453.0,25035.0,9526.0,13881.0,0,2041.75,2007.12,2110.69,2271.3,2453.0,1788.21,1905.2,1983.0,0,24,16,10,1,14,5,7,0,2453.0,"Gonzalez Acosta, Bernal",5309625
Guatemala,458,38,11,78679.0,18235.0,33965.0,4375.0,0,7160.0,3683.0,9709.0,0,2070.5,2026.11,2122.81,2187.5,0,1790.0,1841.5,1941.8,0,9,16,2,0,4,2,5,0,2329.0,"Cu Hor, Winston Darwin",18079810
El Salvador,493,56,24,112199.0,25466.0,34270.0,8880.0,0,18090.0,15390.0,10103.0,0,2003.55,1958.92,2141.88,2220.0,0,1809.0,1923.75,2020.6,0,13,16,4,0,10,8,5,0,2299.0,"Leyva, Hector",6029976
Ethiopia,159,11,2,23171.0,14033.0,4226.0,0,0,3166.0,0,0,0,2106.45,2004.71,2113.0,0,0,1583.0,0,0,0,7,2,0,0,2,0,0,0,2136.0,"Mesfin, Leykun",111652998
Afghanistan,124,11,0,24075.0,12338.0,10012.0,0,0,0,0,0,0,2188.64,2056.33,2002.4,0,0,0,0,0,0,6,5,0,0,0,0,0,0,2043.0,"Ashrafi, Sulaiman Ahmad",43844000
Azerbaijan,3014,197,64,443760.0,38309.0,118851.0,88296.0,73156.0,36079.0,43378.0,17337.0,26863.0,2252.59,2016.26,2285.6,2386.38,2522.62,1898.89,2065.62,2167.12,2238.58,19,52,37,29,19,21,8,12,2717.0,"Mamedyarov, Shakhriyar",10241722
Tunisia,1047,55,17,112109.0,30038.0,30236.0,15834.0,4591.0,15088.0,12964.0,1770.0,0,2038.35,2002.53,2159.71,2262.0,2295.5,1676.44,1852.0,1770.0,0,15,14,7,2,9,7,1,0,2414.0,"Njili, Kamel",11972169
Venezuela,3392,185,50,390315.0,132445.0,98779.0,60868.0,2453.0,47631.0,21853.0,24235.0,0,2109.81,2069.45,2195.09,2254.37,2453.0,1905.24,1986.64,2019.58,0,64,45,27,1,25,11,12,0,2453.0,"Gascon Del Nogal, Jose Rafael",28517000
Cyprus,316,19,7,39763.0,8130.0,15264.0,0,2533.0,8457.0,3674.0,0,0,2092.79,2032.5,2180.57,0,2533.0,1691.4,1837.0,0,0,4,7,0,1,5,2,0,0,2533.0,"Kelires, Andreas",1442614
Greece,7877,205,29,458335.0,61262.0,213248.0,86493.0,41996.0,5720.0,28694.0,12641.0,6338.0,2235.78,2112.48,2221.33,2337.65,2470.35,1906.67,2049.57,2106.83,2112.67,29,96,37,17,3,14,6,3,2635.0,"Theodorou, Nikolas",10400720
Turkmenistan,752,62,26,135179.0,17130.0,35971.0,9035.0,18588.0,10120.0,40660.0,0,2101.0,2180.31,2141.25,2248.19,2258.75,2323.5,2024.0,2033.0,0,2101.0,8,16,4,8,5,20,0,1,2471.0,"Atabayev, Saparmyrat",7057841
Croatia,4592,303,30,676069.0,63401.0,341400.0,133477.0,75777.0,3994.0,30604.0,19087.0,6642.0,2231.25,2113.37,2202.58,2301.33,2444.42,1997.0,2040.27,2120.78,2214.0,30,155,58,31,2,15,9,3,2657.0,"Saric, Ivan",3866233
Kosovo,349,21,3,46314.0,10864.0,23907.0,4594.0,0,3398.0,1832.0,0,0,2205.43,2172.8,2173.36,2297.0,0,1699.0,1832.0,0,0,5,11,2,0,2,1,0,0,2458.0,"Saraci, Nderim",1585566
Bosnia-Herzegovina,1182,112,9,253028.0,14934.0,149501.0,53230.0,14649.0,0,14414.0,2133.0,2228.0,2259.18,2133.43,2231.36,2314.35,2441.5,0,2059.14,2133.0,2228.0,7,67,23,6,0,7,1,1,2555.0,"Predojevic, Borki",3422000
Central African Rep.,16,1,1,3485.0,0,0,0,0,1649.0,0,0,0,0,0,0,0,0,1649.0,0,0,0,0,0,0,0,1,0,0,0,1836.0,"Abba Issiaka, Ouwaissou",6470307
Lebanon,445,33,10,69725.0,23541.0,17079.0,8655.0,0,6869.0,9764.0,2063.0,0,2112.88,2140.09,2134.88,2163.75,0,1717.25,1952.8,2063.0,0,11,8,4,0,4,5,1,0,2318.0,"Khoder, Akram",5490000
Jamaica,389,51,16,103436.0,52027.0,17360.0,4431.0,0,21956.0,3845.0,2053.0,0,2028.16,2001.04,2170.0,2215.5,0,1829.67,1922.5,2053.0,0,26,8,2,0,12,2,1,0,2272.0,"Smith, Shreyas",2825544
Czechia,10369,417,58,930956.0,91707.0,430748.0,211062.0,77711.0,9742.0,56853.0,31599.0,19695.0,2232.51,2132.72,2220.35,2319.36,2428.47,1948.4,2030.46,2106.6,2188.33,43,194,91,32,5,28,15,9,2633.0,"Nguyen, Thai Dai Van",10882341
Belgium,5245,151,13,340686.0,38664.0,182967.0,69975.0,22386.0,0,20421.0,4483.0,0,2256.2,2148.0,2231.3,2332.5,2487.33,0,2042.1,2241.5,0,18,82,30,9,0,10,2,0,2602.0,"Dardha, Daniel",11825551
New Zealand,1018,99,26,204034.0,75521.0,58982.0,20687.0,2518.0,19745.0,18904.0,5947.0,0,2060.95,1987.39,2184.52,2298.56,2518.0,1795.0,1890.4,1982.33,0,38,27,9,1,11,10,3,0,2389.0,"Xie, Felix",5324700
Algeria,1342,86,34,175187.0,44834.0,29387.0,29130.0,7412.0,16785.0,22271.0,21467.0,2020.0,2037.06,2037.91,2099.07,2240.77,2470.67,1678.5,1855.92,1951.55,2020.0,22,14,13,3,10,12,11,1,2493.0,"Bellahcene, Bilel",47400000
Uzbekistan,2026,131,40,293087.0,42219.0,68818.0,51930.0,48011.0,15861.0,32410.0,16738.0,15652.0,2237.31,2110.95,2219.94,2360.45,2526.89,1982.62,2025.62,2092.25,2236.0,20,31,22,19,8,16,8,7,2780.0,"Abdusattorov, Nodirbek",37859698
Malta,258,32,7,65550.0,36650.0,12860.0,2226.0,0,6794.0,5435.0,0,0,2048.44,2036.11,2143.33,2226.0,0,1698.5,1811.67,0,0,18,6,1,0,4,3,0,0,2226.0,"Sorensen, Torben",574250
Brunei,104,6,2,13749.0,4263.0,4156.0,0,0,1572.0,1972.0,0,0,2291.5,2131.5,2078.0,0,0,1572.0,1972.0,0,0,2,2,0,0,1,1,0,0,2099.0,"Hj, Abd Hamid Ilham",455500
Yemen,156,17,3,37402.0,8301.0,10612.0,11328.0,0,3516.0,1846.0,0,0,2200.12,2075.25,2122.4,2265.6,0,1758.0,1846.0,0,0,4,5,5,0,2,1,0,0,2369.0,"Al Qudaimi, Basheer",32684503
Brazil,8746,273,42,592834.0,128455.0,270050.0,79343.0,37509.0,32156.0,26979.0,16610.0,0,2171.55,2038.97,2213.52,2333.62,2500.6,1891.53,1927.07,2076.25,0,63,122,34,15,17,14,8,0,2588.0,"Leitao, Rafael",213421037
Mauritania,155,11,1,23021.0,15625.0,4055.0,0,0,1620.0,0,0,0,2092.82,1953.12,2027.5,0,0,1620.0,0,0,0,8,2,0,0,1,0,0,0,2074.0,"Mohamed Abderrahim, Taleb Mohamed",4927532
Ireland,1455,64,14,140456.0,23369.0,57764.0,28183.0,2344.0,9315.0,15686.0,0,2193.0,2194.62,2124.45,2221.69,2348.58,2344.0,1863.0,1960.75,0,2193.0,11,26,12,1,5,8,0,1,2459.0,"Collins, Sam E.",5458600
Poland,16278,684,157,1517149.0,278225.0,523620.0,274675.0,139533.0,75621.0,129937.0,64757.0,29294.0,2218.05,2140.19,2228.17,2347.65,2491.66,1939.0,2030.27,2158.57,2253.38,130,235,117,56,39,64,30,13,2739.0,"Duda, Jan-Krzysztof",37392000
Djibouti,24,1,0,3926.0,2014.0,0,0,0,0,0,0,0,0,2014.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1912.0,"Abdallah Houssein , Ali",1066809
Chad,5,1,0,3717.0,2016.0,0,0,0,0,0,0,0,0,2016.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1827.0,Mahamat Hachim Bachar,19340757
Somalia,35,3,0,7438.0,5797.0,0,0,0,0,0,0,0,0,1932.33,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1900.0,"Ali Abdullahi, Farah",19655000
Paraguay,873,50,10,109083.0,28838.0,37750.0,11274.0,10055.0,7328.0,7588.0,2123.0,2155.0,2181.66,2059.86,2220.59,2254.8,2513.75,1832.0,1897.0,2123.0,2155.0,14,17,5,4,4,4,1,1,2582.0,"Bachmann, Axel",6109644
Suriname,223,25,14,48417.0,11778.0,10013.0,0,0,15652.0,9294.0,0,0,1936.68,1963.0,2002.6,0,0,1739.11,1858.8,0,0,6,5,0,0,9,5,0,0,2129.0,"Yeung, Jason",616500
Slovakia,5326,178,31,395860.0,51202.0,160533.0,79188.0,43798.0,11574.0,39308.0,6428.0,2290.0,2223.93,2133.42,2199.08,2329.06,2433.22,1929.0,2068.84,2142.67,2290.0,24,73,34,18,6,19,3,1,2540.0,"Michalik, Peter",5413813
Comoros Islands,9,0,0,1790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1790.0,"Abdou, Mohamed",919901
Senegal,47,4,1,9591.0,5473.0,0,0,2452.0,0,0,0,0,0,1824.33,0,0,2452.0,0,0,0,0,3,0,0,1,0,0,0,0,1957.0,"El, Hadji Saidou Nourou BA",18593258
Uganda,897,29,13,58869.0,7979.0,21511.0,4406.0,0,10591.0,10519.0,2041.0,0,2029.97,1994.75,2151.1,2203.0,0,1765.17,1753.17,2041.0,0,4,10,2,0,6,6,1,0,2320.0,"Ssegwanyi, Arthur",45905417
Montenegro,648,80,8,181477.0,12760.0,89127.0,36846.0,26759.0,0,8091.0,6336.0,0,2268.46,2126.67,2228.18,2302.88,2432.64,0,2022.75,2112.0,0,6,40,16,11,0,4,3,0,2554.0,"Petrov, Nikita",623327
Tajikistan,280,14,1,33584.0,0,13678.0,13824.0,2598.0,0,1993.0,0,0,2398.86,0,2279.67,2304.0,2598.0,0,1993.0,0,0,0,6,6,1,0,1,0,0,2421.0,"Ilkhomi, Jaloliddin",10499000
Qatar,80,16,8,34207.0,3637.0,6653.0,2256.0,7449.0,6756.0,5404.0,0,0,2137.94,1818.5,2217.67,2256.0,2483.0,1689.0,1801.33,0,0,2,3,1,3,4,3,0,0,2256.0,"Aziz, Husain",3173024
Aruba,77,15,5,29834.0,15026.0,2106.0,2366.0,0,6917.0,1868.0,0,0,1988.93,1878.25,2106.0,2366.0,0,1729.25,1868.0,0,0,8,1,1,0,4,1,0,0,2366.0,"Lopez, Jasel",0
Mozambique,164,15,5,30408.0,11897.0,8518.0,0,0,6596.0,0,1837.0,0,2027.2,1982.83,2129.5,0,0,1649.0,0,1837.0,0,6,4,0,0,4,0,1,0,2189.0,"Paiva, Donaldo",34090466
Bulgaria,2468,159,36,361460.0,16805.0,76715.0,122548.0,84438.0,7537.0,17929.0,24986.0,8800.0,2273.33,2100.62,2256.32,2312.23,2412.51,1884.25,1992.11,2082.17,2200.0,8,34,53,35,4,9,12,4,2695.0,"Topalov, Veselin",6437360
Trinidad and Tobago,352,41,10,81258.0,33882.0,25360.0,4515.0,0,8845.0,5220.0,1819.0,0,1981.9,1882.33,2113.33,2257.5,0,1769.0,1740.0,1819.0,0,18,12,2,0,5,3,1,0,2318.0,"Ramoutar, Alan-Safar",1367764
North Macedonia,688,56,7,127373.0,0,58862.0,28251.0,24092.0,0,12348.0,2002.0,0,2274.52,0,2180.07,2354.25,2409.2,0,2058.0,2002.0,0,0,27,12,10,0,6,1,0,2549.0,"Romanov, Evgeny",1822612
Scotland,716,52,10,115256.0,10751.0,45079.0,27475.0,14512.0,3928.0,13511.0,0,0,2216.46,2150.2,2253.95,2289.58,2418.67,1964.0,1930.14,0,0,5,20,12,6,2,7,0,0,2456.0,"Turner, Matthew J",0
Romania,6514,335,80,743171.0,62767.0,282369.0,179847.0,59625.0,22437.0,84245.0,32361.0,17693.0,2218.42,2164.38,2206.01,2305.73,2484.38,1869.75,2054.76,2157.4,2211.62,29,128,78,24,12,41,15,8,2650.0,"Deac, Bogdan-Daniel",19036031
Portugal,2940,72,19,159413.0,14381.0,60667.0,37547.0,9719.0,11276.0,19958.0,4012.0,0,2214.07,2054.43,2246.93,2346.69,2429.75,1879.33,1995.8,2006.0,0,7,27,16,4,6,10,2,0,2525.0,"Ferreira, Jorge Viterbo",10749635
Slovenia,1874,160,33,361114.0,23856.0,159581.0,74985.0,35073.0,3833.0,36689.0,18783.0,6488.0,2256.96,2168.73,2247.62,2343.28,2505.21,1916.5,2038.28,2087.0,2162.67,11,71,32,14,2,18,9,3,2700.0,"Fedoseev, Vladimir",2130638
Japan,467,37,13,79094.0,19308.0,24639.0,9200.0,0,18102.0,3772.0,2032.0,0,2137.68,2145.33,2239.91,2300.0,0,1810.2,1886.0,2032.0,0,9,11,4,0,10,2,1,0,2402.0,"Tran, Thanh Tu",123210000
Angola,618,36,10,75106.0,16446.0,20889.0,16952.0,0,7531.0,7669.0,3758.0,0,2086.28,2055.75,2088.9,2119.0,0,1882.75,1917.25,1879.0,0,8,10,8,0,4,4,2,0,2306.0,"Miguel, Sergio",36170961
Hungary,7609,536,85,1193892.0,89775.0,558050.0,258631.0,132161.0,17141.0,71677.0,46636.0,17775.0,2227.41,2137.5,2197.05,2288.77,2493.6,1904.56,2047.91,2119.82,2221.88,42,254,113,53,9,35,22,8,2729.0,"Rapport, Richard",9539502
Serbia,6611,637,84,1409007.0,95532.0,725270.0,282663.0,136754.0,9794.0,80009.0,40007.0,37196.0,2211.94,2122.93,2184.55,2298.07,2399.19,1958.8,2051.51,2105.63,2188.0,45,332,123,57,5,39,19,17,2664.0,"Sarana, Alexey",6567783
Lesotho,197,9,4,17356.0,9164.0,0,0,0,4932.0,1571.0,0,0,1928.44,1832.8,0,0,0,1644.0,1571.0,0,0,5,0,0,0,3,1,0,0,2002.0,"Tsephe, Lebajoa",2116427
Macau,48,12,2,25526.0,13896.0,6133.0,0,0,3555.0,0,0,0,2127.17,1985.14,2044.33,0,0,1777.5,0,0,0,7,3,0,0,2,0,0,0,2082.0,"Li, Hui",0
Zambia,1208,45,11,93941.0,34974.0,15012.0,20533.0,2449.0,13889.0,3765.0,1894.0,0,2087.58,2057.29,2144.57,2281.44,2449.0,1736.12,1882.5,1894.0,0,17,7,9,1,8,2,1,0,2327.0,"Mwali, Chitumbo",19693423
Estonia,616,64,21,144954.0,13186.0,38645.0,35636.0,14576.0,11902.0,14195.0,12600.0,2169.0,2264.91,2197.67,2273.24,2375.73,2429.33,1983.67,2027.86,2100.0,2169.0,6,17,15,6,6,7,6,1,2470.0,"Volodin, Aleksandr",1369995
Latvia,1136,86,25,193185.0,19015.0,83528.0,21281.0,19727.0,6243.0,20210.0,10918.0,10784.0,2246.34,2112.78,2257.51,2364.56,2465.88,2081.0,2021.0,2183.6,2156.8,9,37,9,8,3,10,5,5,2560.0,"Kantans, Toms",1829000
Lithuania,1484,81,18,184271.0,17219.0,67953.0,35034.0,27238.0,3685.0,18306.0,8497.0,4242.0,2274.95,2152.38,2265.1,2335.6,2476.18,1842.5,2034.0,2124.25,2121.0,8,30,15,11,2,9,4,2,2584.0,"Kazakouski, Valery",2894886
S. Sudan,135,6,0,14280.0,10588.0,2078.0,0,0,0,0,0,0,2380.0,2117.6,2078.0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2122.0,Gong Thon Gong,15786898
Liberia,70,6,0,11241.0,7402.0,3839.0,0,0,0,0,0,0,1873.5,1850.5,1919.5,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2014.0,"Saah, Obediah",5248621
Namibia,237,15,6,29456.0,11379.0,4250.0,2288.0,0,8455.0,1604.0,0,0,1963.73,1896.5,2125.0,2288.0,0,1691.0,1604.0,0,0,6,2,1,0,5,1,0,0,2288.0,"Beukes, Dante M",3022401
South Africa,3232,162,65,309000.0,99019.0,65512.0,27051.0,2270.0,49452.0,37147.0,24667.0,2125.0,1907.41,1868.28,2047.25,2254.25,2270.0,1705.24,1768.9,1897.46,2125.0,53,32,12,1,29,21,13,1,2408.0,"Steel, Henry Robert",63100945
Guyana,96,11,5,21395.0,9592.0,2003.0,0,0,6434.0,1840.0,0,0,1945.0,1918.4,2003.0,0,0,1608.5,1840.0,0,0,5,1,0,0,4,1,0,0,2005.0,"Khan, Taffin",772975
Kuwait,204,13,5,24678.0,11198.0,3971.0,0,0,8044.0,0,0,0,1898.31,1866.33,1985.5,0,0,1608.8,0,0,0,6,2,0,0,5,0,0,0,2017.0,"Al-Hajiri, Bader",4881254
Nicaragua,584,33,7,70118.0,9533.0,40624.0,6570.0,0,1822.0,7837.0,1866.0,0,2124.79,1906.6,2138.11,2190.0,0,1822.0,1959.25,1866.0,0,5,19,3,0,1,4,1,0,2335.0,"Guevara, Martin",6803886
Seychelles,19,5,1,11212.0,5489.0,2159.0,0,0,1767.0,0,0,0,2242.4,1829.67,2159.0,0,0,1767.0,0,0,0,3,1,0,0,1,0,0,0,2159.0,"Stratonowitsch, Andre",122729
Puerto Rico,510,48,12,99058.0,46847.0,23706.0,6585.0,0,12347.0,5518.0,1987.0,0,2063.71,2036.83,2155.09,2195.0,0,1763.86,1839.33,1987.0,0,23,11,3,0,7,3,1,0,2278.0,"Velasco, Santiago",0
Iceland,891,80,9,180094.0,27600.0,69944.0,30309.0,34148.0,5838.0,4010.0,6119.0,2126.0,2251.18,2123.08,2256.26,2331.46,2439.14,1946.0,2005.0,2039.67,2126.0,13,31,13,14,3,2,3,1,2534.0,"Stefansson, Vignir Vatnar",391810
Nepal,1514,25,3,50492.0,29468.0,14348.0,0,0,3425.0,1806.0,0,0,2019.68,1964.53,2049.71,0,0,1712.5,1806.0,0,0,15,7,0,0,2,1,0,0,2248.0,"Thing, Bibek",29911840
Hong Kong,576,32,10,64843.0,21850.0,23053.0,0,0,12291.0,5965.0,0,0,2026.34,1986.36,2095.73,0,0,1755.86,1988.33,0,0,11,11,0,0,7,3,0,0,2273.0,"Nissinen, Niilo Man",0
Luxembourg,452,22,6,49601.0,2199.0,23816.0,9214.0,0,1798.0,1915.0,4234.0,4436.0,2254.59,2199.0,2165.09,2303.5,0,1798.0,1915.0,2117.0,2218.0,1,11,4,0,1,1,2,2,2400.0,"Wiedenkeller, Michael",681973
US Virgin Islands,33,3,1,6949.0,1685.0,1957.0,0,0,1636.0,0,0,0,0,1685.0,1957.0,0,0,1636.0,0,0,0,1,1,0,0,1,0,0,0,2079.0,"Funtanilla, Mighty",0
Palau,129,10,5,19241.0,7291.0,2228.0,0,0,6343.0,1691.0,0,0,1924.1,1822.75,2228.0,0,0,1585.75,1691.0,0,0,4,1,0,0,4,1,0,0,2228.0,"Morazo, John Ranel",16733
Eritrea,19,2,0,5700.0,3825.0,0,0,0,0,0,0,0,0,1912.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1943.0,Kibrom Weldegebriel Beraki,3607000
Nauru,29,4,0,9311.0,5651.0,1761.0,0,0,0,0,0,0,0,1883.67,1761.0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1899.0,"Adam, Kingston",11680
Wales,524,38,8,80998.0,16139.0,35189.0,14136.0,0,9393.0,6141.0,0,0,2131.53,2017.38,2199.31,2356.0,0,1878.6,2047.0,0,0,8,16,6,0,5,3,0,0,2353.0,"Camacho Collados, Jose",0
Albania,366,33,10,74229.0,10702.0,20369.0,18963.0,2520.0,5573.0,13830.0,0,0,2249.36,2140.4,2263.22,2370.38,2520.0,1857.67,1975.71,0,0,5,9,8,1,3,7,0,0,2388.0,"Ashiku, Franc",2363314
C�te d'Ivoire,85,8,3,17070.0,8021.0,2071.0,0,0,3258.0,1859.0,0,0,2133.75,2005.25,2071.0,0,0,1629.0,1859.0,0,0,4,1,0,0,2,1,0,0,2095.0,"Manan, Yoboue Hermann",31719275
Togo,54,8,3,15163.0,9085.0,0,0,0,4578.0,0,0,0,1895.38,1817.0,0,0,0,1526.0,0,0,0,5,0,0,0,3,0,0,0,1997.0,"Tchouka, Yakini",8095498
Saint Lucia,31,5,2,10883.0,6046.0,0,0,0,3379.0,0,0,0,2176.6,2015.33,0,0,0,1689.5,0,0,0,3,0,0,0,2,0,0,0,2160.0,"Martyr, Reginald",184100
