Country,total_player_count,all_master_player_count,titled_female_player_count,rating_sum,CM_rating_sum,FM_rating_sum,IM_rating_sum,GM_rating_sum,WCM_rating_sum,WFM_rating_sum,WIM_rating_sum,WGM_rating_sum,rating_average,CM_rating_average,FM_rating_average,IM_rating_average,GM_rating_average,WCM_rating_average,WFM_rating_average,WIM_rating_average,WGM_rating_average,CM_count,FM_count,IM_count,GM_count,WCM_count,WFM_count,WIM_count,WGM_count,highest_rating,highest_player,population
Bhutan,26,3,1,6393.0,3477.0,0,0,0,1428.0,0,0,0,0,1738.5,0,0,0,1428.0,0,0,0,2,0,0,0,1,0,0,0,1704.0,Padma Yonten Gyalpo,784043
Vietnam,1838,202,101,419788.0,76966.0,69657.0,46478.0,31873.0,50496.0,98043.0,33069.0,13206.0,2078.16,2025.42,2176.78,2323.9,2451.77,1870.22,1960.86,2066.81,2201.0,38,32,20,13,27,50,16,6,2731.0,"Le, Quang Liem",101343800
Monaco,102,28,12,60161.0,6309.0,14948.0,6756.0,7136.0,11380.0,4045.0,5617.0,2189.0,2148.61,2103.0,2135.43,2252.0,2378.67,1896.67,2022.5,1872.33,2189.0,3,7,3,3,6,2,3,1,2398.0,"Berezovsky, Igor",38423
Myanmar,1003,49,8,109024.0,8554.0,76802.0,11490.0,0,0,10139.0,0,0,2224.98,2138.5,2194.34,2298.0,0,0,2027.8,0,0,4,35,5,0,0,5,0,0,2327.0,"Wynn, Zaw Htun",51316756
Burundi,30,1,0,3979.0,0,2402.0,0,0,0,0,0,0,0,0,2402.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2402.0,Ezra Paul Chambers,12332788
Guam,113,9,4,17759.0,9551.0,0,0,0,6750.0,0,0,0,1973.22,1910.2,0,0,0,1687.5,0,0,0,5,0,0,0,4,0,0,0,2003.0,"Prudente, Elmer",0
eSwatini,98,6,2,11839.0,7291.0,0,0,0,3020.0,0,0,0,1973.17,1822.75,0,0,0,1510.0,0,0,0,4,0,0,0,2,0,0,0,1876.0,"Hlophe, Smilo",0
Taiwan,282,20,10,39802.0,9631.0,6162.0,2436.0,2498.0,11976.0,5320.0,0,0,1990.1,1926.2,2054.0,2436.0,2498.0,1710.86,1773.33,0,0,5,3,1,1,7,3,0,0,2436.0,"Bai, Adelard",0
Jersey,47,15,4,30075.0,18003.0,4001.0,0,0,6499.0,0,0,0,2005.0,2000.33,2000.5,0,0,1624.75,0,0,0,9,2,0,0,4,0,0,0,2082.0,"Gurner, Jem",0
Dominica,17,1,0,3473.0,1770.0,0,0,0,0,0,0,0,0,1770.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1808.0,"Kovalenko, Andrey",67408
Belize,6,0,0,1719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719.0,"Awe, Alfred",417634
